X,Y,label
0.18749017,0.3042341,7
0.2852171,0.72897184,2
0.14911017,0.621368,1
0.83501464,0.54675275,0
0.57838815,0.18168415,4
0.12743314,0.6397062,1
0.52505785,0.19984911,4
0.42019144,0.0374415,9
0.61047256,0.18879992,5
0.35492632,0.35693946,9
0.9093404,0.5133413,0
0.8678158,0.22156632,6
0.38430265,0.21168049,9
0.8549003,0.4889475,0
0.05966008,0.5197063,1
0.697207,0.63467175,5
0.49836382,0.07287043,9
0.14944004,0.2690122,7
0.70531255,0.683866,3
0.50803703,0.18733189,4
0.33698604,0.31774008,9
0.7519327,0.26022935,6
0.85751927,0.22036235,6
0.6148579,0.46202832,5
0.51078296,0.12513821,4
0.9409667,0.62414485,0
0.16547108,0.17973904,7
0.5557758,0.18205117,4
0.8446765,0.51045847,0
0.06464932,0.44978786,1
0.53707623,0.72296107,3
0.038683005,0.43154436,1
0.5910744,0.6695449,3
0.6449696,0.15510456,4
0.24188189,0.39919263,7
0.39907098,0.8816454,2
0.20787896,0.23930034,7
0.06955704,0.45822087,1
0.2722448,0.7235745,2
0.06970745,0.56842756,1
0.18592991,0.5348677,1
0.24200201,0.27658537,7
0.5096364,0.19920796,4
0.2804985,0.62869817,2
0.6314165,0.7283014,3
0.6007272,0.55706626,5
0.015772533,0.44434032,1
0.4268788,0.83654183,2
0.57561487,0.16382928,4
0.58221847,0.1255825,4
0.71665734,0.36029205,6
0.62684757,0.6535175,3
0.6030672,0.47116938,5
0.69719285,0.628508,5
0.887417,0.21696304,6
0.8137262,0.5031703,0
0.6034888,0.15366592,4
0.14007817,0.60603046,1
0.3662786,0.124694906,9
0.5691179,0.39267203,5
0.17213778,0.1577851,7
0.3270151,0.4901003,8
0.46080193,0.16334315,9
0.5021092,0.78425497,3
0.22565432,0.39323777,7
0.4587564,0.14737429,4
0.86170346,0.2293456,6
0.60483056,0.18384731,4
0.60763407,0.70818263,3
0.98498964,0.5926093,0
0.14747736,0.26835734,7
0.92990196,0.5156482,0
0.48360303,0.92214096,2
0.30107996,0.3793488,9
0.1053677,0.45456195,1
